==============================
Processo, 33, tempo, 1.991831, Prioridade,-1
Processo, 1, tempo, 2.028857, Prioridade,-1
Processo, 7, tempo, 2.003559, Prioridade,-1
Processo, 5, tempo, 1.973664, Prioridade,-1
==============================
Processo, 29, tempo, 2.190117, Prioridade,-1
Processo, 22, tempo, 2.202071, Prioridade,-1
Processo, 21, tempo, 2.218979, Prioridade,-1
Processo, 18, tempo, 2.237120, Prioridade,-1
Processo, 20, tempo, 2.237257, Prioridade,-1
Processo, 17, tempo, 2.228608, Prioridade,-1
Processo, 31, tempo, 2.216585, Prioridade,-1
Processo, 28, tempo, 2.237249, Prioridade,-1
Processo, 0, tempo, 2.263037, Prioridade,-1
Processo, 2, tempo, 2.175021, Prioridade,-1
Processo, 8, tempo, 2.236870, Prioridade,-1
Processo, 16, tempo, 2.273920, Prioridade,-1
Processo, 10, tempo, 2.260581, Prioridade,-1
Processo, 19, tempo, 2.271195, Prioridade,-1
Processo, 34, tempo, 2.277271, Prioridade,-1
Processo, 32, tempo, 2.241772, Prioridade,-1
Processo, 5, tempo, 2.232800, Prioridade,-1
Processo, 12, tempo, 2.288767, Prioridade,-1
Processo, 39, tempo, 2.260765, Prioridade,-1
Processo, 6, tempo, 2.262185, Prioridade,-1
Processo, 30, tempo, 2.254217, Prioridade,-1
Processo, 11, tempo, 2.278532, Prioridade,-1
Processo, 4, tempo, 2.242670, Prioridade,-1
Processo, 15, tempo, 2.289354, Prioridade,-1
Processo, 27, tempo, 2.274550, Prioridade,-1
Processo, 35, tempo, 2.288922, Prioridade,-1
Processo, 7, tempo, 2.263562, Prioridade,-1
Processo, 3, tempo, 2.267714, Prioridade,-1
Processo, 33, tempo, 2.303213, Prioridade,-1
Processo, 1, tempo, 2.301244, Prioridade,-1
Processo, 36, tempo, 2.288349, Prioridade,-1
Processo, 37, tempo, 2.284803, Prioridade,-1
Processo, 26, tempo, 2.270605, Prioridade,-1
Processo, 24, tempo, 2.279951, Prioridade,-1
Processo, 38, tempo, 2.279508, Prioridade,-1
Processo, 9, tempo, 2.270661, Prioridade,-1
Processo, 13, tempo, 2.295118, Prioridade,-1
Processo, 14, tempo, 2.294492, Prioridade,-1
Processo, 23, tempo, 2.287216, Prioridade,-1
Processo, 25, tempo, 2.278329, Prioridade,-1
==============================
Processo, 34, tempo, 2.749919, Prioridade,-1
Processo, 22, tempo, 2.750947, Prioridade,-1
Processo, 35, tempo, 2.740674, Prioridade,-1
Processo, 14, tempo, 2.748443, Prioridade,-1
Processo, 43, tempo, 2.695972, Prioridade,-1
Processo, 28, tempo, 2.770078, Prioridade,-1
Processo, 39, tempo, 2.725532, Prioridade,-1
Processo, 11, tempo, 2.759733, Prioridade,-1
Processo, 30, tempo, 2.803884, Prioridade,-1
Processo, 13, tempo, 2.746869, Prioridade,-1
Processo, 1, tempo, 2.787142, Prioridade,-1
Processo, 37, tempo, 2.766952, Prioridade,-1
Processo, 42, tempo, 2.741687, Prioridade,-1
Processo, 26, tempo, 2.781279, Prioridade,-1
Processo, 44, tempo, 2.739369, Prioridade,-1
Processo, 8, tempo, 2.799416, Prioridade,-1
Processo, 17, tempo, 2.792794, Prioridade,-1
Processo, 2, tempo, 2.714080, Prioridade,-1
Processo, 41, tempo, 2.761589, Prioridade,-1
Processo, 12, tempo, 2.766457, Prioridade,-1
Processo, 4, tempo, 2.746385, Prioridade,-1
Processo, 19, tempo, 2.801553, Prioridade,-1
Processo, 21, tempo, 2.795302, Prioridade,-1
Processo, 18, tempo, 2.810858, Prioridade,-1
Processo, 24, tempo, 2.790312, Prioridade,-1
Processo, 16, tempo, 2.811285, Prioridade,-1
Processo, 25, tempo, 2.823064, Prioridade,-1
Processo, 33, tempo, 2.804312, Prioridade,-1
Processo, 31, tempo, 2.824364, Prioridade,-1
Processo, 6, tempo, 2.851500, Prioridade,-1
Processo, 29, tempo, 2.834014, Prioridade,-1
Processo, 32, tempo, 2.815961, Prioridade,-1
Processo, 48, tempo, 2.786904, Prioridade,-1
Processo, 23, tempo, 2.797867, Prioridade,-1
Processo, 49, tempo, 2.792220, Prioridade,-1
Processo, 38, tempo, 2.817483, Prioridade,-1
Processo, 20, tempo, 2.835078, Prioridade,-1
Processo, 40, tempo, 2.820341, Prioridade,-1
Processo, 27, tempo, 2.856379, Prioridade,-1
Processo, 47, tempo, 2.811411, Prioridade,-1
Processo, 45, tempo, 2.799573, Prioridade,-1
Processo, 0, tempo, 2.878092, Prioridade,-1
Processo, 15, tempo, 2.842174, Prioridade,-1
Processo, 9, tempo, 2.861622, Prioridade,-1
Processo, 5, tempo, 2.859196, Prioridade,-1
Processo, 3, tempo, 2.807656, Prioridade,-1
Processo, 10, tempo, 2.859010, Prioridade,-1
Processo, 36, tempo, 2.845263, Prioridade,-1
Processo, 7, tempo, 2.868439, Prioridade,-1
Processo, 46, tempo, 2.809388, Prioridade,-1
==============================
Processo, 16, tempo, 3.276387, Prioridade,-1
Processo, 36, tempo, 3.282241, Prioridade,-1
Processo, 21, tempo, 3.328662, Prioridade,-1
Processo, 2, tempo, 3.355560, Prioridade,-1
Processo, 31, tempo, 3.309846, Prioridade,-1
Processo, 12, tempo, 3.263197, Prioridade,-1
Processo, 25, tempo, 3.337921, Prioridade,-1
Processo, 17, tempo, 3.304528, Prioridade,-1
Processo, 13, tempo, 3.301818, Prioridade,-1
Processo, 49, tempo, 3.373905, Prioridade,-1
Processo, 55, tempo, 3.343286, Prioridade,-1
Processo, 52, tempo, 3.323341, Prioridade,-1
Processo, 27, tempo, 3.333940, Prioridade,-1
Processo, 32, tempo, 3.338649, Prioridade,-1
Processo, 30, tempo, 3.347305, Prioridade,-1
Processo, 23, tempo, 3.371636, Prioridade,-1
Processo, 18, tempo, 3.358402, Prioridade,-1
Processo, 46, tempo, 3.405511, Prioridade,-1
Processo, 11, tempo, 3.347853, Prioridade,-1
Processo, 9, tempo, 3.372554, Prioridade,-1
Processo, 45, tempo, 3.366744, Prioridade,-1
Processo, 29, tempo, 3.403453, Prioridade,-1
Processo, 34, tempo, 3.404960, Prioridade,-1
Processo, 40, tempo, 3.408333, Prioridade,-1
Processo, 48, tempo, 3.395517, Prioridade,-1
Processo, 44, tempo, 3.425510, Prioridade,-1
Processo, 59, tempo, 3.361924, Prioridade,-1
Processo, 41, tempo, 3.439200, Prioridade,-1
Processo, 5, tempo, 3.394525, Prioridade,-1
